zip,population_acs_2022,pop_10000_2022
61454,505,0.0505
61455,"17,653",1.7653
61458,464,0.0464
61459,348,0.0348
61460,179,0.0179
61462,"10,855",1.0855
61465,"1,250",0.125
61466,267,0.0267
61467,"1,244",0.1244
61468,190,0.019
61469,"1,926",0.1926
61470,505,0.0505
61471,136,0.0136
61472,387,0.0387
61473,"1,307",0.1307
61474,285,0.0285
61475,192,0.0192
61476,605,0.0605
61477,499,0.0499
61478,383,0.0383
61479,24,0.0024
61480,"1,352",0.1352
61482,520,0.052
61483,"1,861",0.1861
61484,737,0.0737
61485,387,0.0387
61486,"1,450",0.145
61488,"1,284",0.1284
61489,841,0.0841
61490,"1,103",0.1103
61491,"2,276",0.2276
61501,"1,646",0.1646
61516,754,0.0754
61517,"3,196",0.3196
61519,249,0.0249
61520,"16,176",1.6176
61523,"10,356",1.0356
61524,358,0.0358
61525,"11,543",1.1543
61526,808,0.0808
61528,"3,435",0.3435
61529,"2,730",0.273
61530,"6,614",0.6614
61531,"3,144",0.3144
61532,410,0.041
61533,"2,363",0.2363
61534,"2,057",0.2057
61535,"2,163",0.2163
61536,"3,207",0.3207
61537,"2,727",0.2727
61539,150,0.015
61540,"2,771",0.2771
61541,99,0.0099
61542,"3,407",0.3407
61543,111,0.0111
61544,872,0.0872
61545,766,0.0766
61546,"3,791",0.3791
61547,"3,835",0.3835
61548,"12,301",1.2301
61550,"18,483",1.8483
61552,220,0.022
61553,259,0.0259
61554,"40,775",4.0775
61559,"3,845",0.3845
61560,586,0.0586
61561,"2,500",0.25
61562,92,0.0092
61563,556,0.0556
61564,"1,053",0.1053
61565,"1,433",0.1433
61567,500,0.05
61568,"4,606",0.4606
61569,"1,010",0.101
61570,"1,663",0.1663
61571,"24,712",2.4712
61572,"1,029",0.1029
61602,862,0.0862
61603,"15,789",1.5789
61604,"28,220",2.822
61605,"13,776",1.3776
61606,"7,232",0.7232
61607,"10,522",1.0522
61610,"4,695",0.4695
61611,"23,447",2.3447
61614,"28,399",2.8399
61615,"23,167",2.3167
61616,"5,890",0.589
61625,438,0.0438
61701,"35,480",3.548
61704,"37,517",3.7517
61705,"12,746",1.2746
61720,319,0.0319
61721,573,0.0573
61722,701,0.0701
61723,"2,498",0.2498
61724,439,0.0439
61725,"1,644",0.1644
61726,"2,508",0.2508
61727,"9,421",0.9421
61728,"1,301",0.1301
61729,"1,184",0.1184
61730,369,0.0369
61731,145,0.0145
61732,"2,017",0.2017
61733,870,0.087
61734,"2,520",0.252
61735,363,0.0363
61736,"2,578",0.2578
61737,444,0.0444
61738,"4,186",0.4186
61739,"4,635",0.4635
61740,"1,556",0.1556
61741,"1,635",0.1635
61742,"1,390",0.139
61743,165,0.0165
61744,"1,506",0.1506
61745,"4,507",0.4507
61747,"1,452",0.1452
61748,"2,732",0.2732
61749,491,0.0491
61750,129,0.0129
61751,60,0.006
61752,"4,461",0.4461
61753,"3,279",0.3279
61754,"1,107",0.1107
61755,"4,530",0.453
61756,"2,564",0.2564
61759,"1,350",0.135
61760,"2,257",0.2257
61761,"53,423",5.3423
61764,"13,688",1.3688
61769,673,0.0673
61770,"1,146",0.1146
61771,986,0.0986
61772,252,0.0252
61773,352,0.0352
61774,836,0.0836
61775,240,0.024
61776,"1,321",0.1321
61777,"1,049",0.1049
61778,591,0.0591
61801,"27,965",2.7965
61802,"19,722",1.9722
61810,183,0.0183
61811,595,0.0595
61812,288,0.0288
61813,"1,665",0.1665
61814,"1,287",0.1287
61815,298,0.0298
61816,442,0.0442
61817,"2,471",0.2471
61818,"1,579",0.1579
61820,"38,128",3.8128
61821,"29,072",2.9072
61822,"27,929",2.7929
61830,422,0.0422
61831,139,0.0139
61832,"32,631",3.2631
61833,"1,831",0.1831
61834,"8,281",0.8281
61839,589,0.0589
61840,530,0.053
61841,"1,057",0.1057
61842,"2,434",0.2434
61843,"2,138",0.2138
61844,810,0.081
61845,251,0.0251
61846,"4,666",0.4666
61847,"1,194",0.1194
61848,263,0.0263
61849,"1,955",0.1955
61850,466,0.0466
61851,296,0.0296
61852,138,0.0138
61853,"14,288",1.4288
61854,"1,409",0.1409
61855,103,0.0103
61856,"8,315",0.8315
61857,146,0.0146
61858,"2,797",0.2797
61859,"1,244",0.1244
61862,694,0.0694
61863,821,0.0821
61864,"1,754",0.1754
61865,"1,395",0.1395
61866,"13,442",1.3442
61870,"1,230",0.123
61871,343,0.0343
61872,543,0.0543
61873,"5,811",0.5811
61874,"8,653",0.8653
61875,"1,196",0.1196
61876,833,0.0833
61877,"1,185",0.1185
61878,"1,217",0.1217
61880,"4,570",0.457
61882,632,0.0632
61883,"4,412",0.4412
61884,"1,081",0.1081
61910,"4,947",0.4947
61911,"4,647",0.4647
61912,"1,173",0.1173
61913,"1,229",0.1229
61914,"1,783",0.1783
61917,493,0.0493
61919,776,0.0776
61920,"20,923",2.0923
61924,"2,317",0.2317
61925,"1,054",0.1054
61928,643,0.0643
61929,639,0.0639
61930,749,0.0749
61931,"1,336",0.1336
61932,542,0.0542
61933,"1,114",0.1114
61936,286,0.0286
61937,"1,663",0.1663
61938,"20,965",2.0965
61940,294,0.0294
61941,196,0.0196
61942,972,0.0972
61943,"1,430",0.143
61944,"11,562",1.1562
61949,152,0.0152
61951,"7,777",0.7777
61953,"6,305",0.6305
61955,193,0.0193
61956,"2,931",0.2931
61957,"1,778",0.1778
62001,"1,766",0.1766
62002,"30,166",3.0166
62006,485,0.0485
62009,"1,713",0.1713
62010,"11,133",1.1133
62011,273,0.0273
62012,"6,678",0.6678
62013,527,0.0527
62014,"3,749",0.3749
62015,592,0.0592
62016,"3,519",0.3519
62017,943,0.0943
62018,"2,954",0.2954
62019,317,0.0317
62021,925,0.0925
62022,978,0.0978
62023,150,0.015
62024,"9,350",0.935
62025,"35,947",3.5947
62026,"1,054",0.1054
62027,519,0.0519
62028,"1,070",0.107
62030,75,0.0075
62031,717,0.0717
